Date,Open,High,Low,Close,Adj Close,Volume
2014-03-12,86.580002,88.900002,86.199997,87.610001,87.610001,25800
2014-03-13,87.750000,88.000000,86.709999,87.589996,87.589996,22400
2014-03-14,87.250000,89.320000,86.989998,88.419998,88.419998,24900
2014-03-17,88.879997,89.269997,87.690002,88.500000,88.500000,27400
2014-03-18,88.180000,88.639999,87.430000,88.459999,88.459999,35500
2014-03-19,88.120003,89.000000,87.510002,88.550003,88.550003,23300
2014-03-20,88.099998,89.120003,88.099998,88.410004,88.410004,12100
2014-03-21,88.959999,89.000000,88.019997,88.040001,88.040001,18800
2014-03-24,87.790001,88.120003,86.879997,87.010002,87.010002,22100
2014-03-25,86.099998,88.400002,85.620003,87.900002,87.900002,15000
2014-03-26,88.029999,88.839996,86.220001,86.440002,86.440002,31400
2014-03-27,87.089996,87.949997,85.330002,85.699997,85.699997,20100
2014-03-28,85.940002,86.629997,85.250000,85.250000,85.250000,24800
2014-03-31,85.349998,86.559998,84.519997,84.980003,84.980003,48200
2014-04-01,85.349998,85.980003,84.690002,85.010002,85.010002,26200
2014-04-02,84.760002,84.790001,82.699997,83.250000,83.250000,30300
2014-04-03,83.309998,83.589996,82.010002,82.400002,82.400002,37900
2014-04-04,82.419998,82.459999,78.010002,79.150002,79.150002,54500
2014-04-07,79.430000,81.099998,79.430000,80.230003,80.230003,28100
2014-04-08,80.559998,81.919998,80.019997,81.500000,81.500000,24100
2014-04-09,82.070000,82.449997,81.510002,81.949997,81.949997,19100
2014-04-10,81.680000,82.320000,79.849998,81.449997,81.449997,57400
2014-04-11,80.980003,82.010002,80.320000,81.059998,81.059998,62900
2014-04-14,81.500000,82.190002,80.550003,81.199997,81.199997,45700
2014-04-15,81.800003,82.489998,80.129997,80.779999,80.779999,46900
2014-04-16,81.489998,81.529999,80.809998,81.070000,81.070000,13600
2014-04-17,81.059998,81.639999,80.489998,80.709999,80.709999,17200
2014-04-21,81.059998,81.480003,80.459999,81.250000,81.250000,22600
2014-04-22,81.199997,81.940002,80.660004,81.040001,81.040001,18200
2014-04-23,81.099998,81.650002,80.199997,81.300003,81.300003,27400
2014-04-24,81.860001,82.699997,80.750000,82.400002,82.400002,40500
2014-04-25,82.019997,82.790001,81.269997,82.410004,82.410004,32600
2014-04-28,82.769997,83.510002,82.570000,82.970001,82.970001,28400
2014-04-29,83.699997,84.349998,83.250000,83.339996,83.339996,35900
2014-04-30,82.709999,82.849998,80.760002,82.230003,82.230003,19800
2014-05-01,82.169998,82.620003,80.180000,82.139999,82.139999,39500
2014-05-02,82.650002,84.839996,82.459999,82.989998,82.989998,17700
2014-05-05,82.269997,83.389999,81.660004,82.220001,82.220001,19700
2014-05-06,82.320000,83.239998,80.349998,80.349998,80.349998,31000
2014-05-07,80.000000,81.199997,78.000000,78.260002,78.260002,57200
2014-05-08,77.949997,79.320000,76.849998,77.269997,77.269997,68800
2014-05-09,77.250000,77.970001,77.010002,77.489998,77.489998,33600
2014-05-12,78.080002,79.809998,78.040001,78.320000,78.320000,26100
2014-05-13,78.300003,79.830002,77.500000,77.629997,77.629997,25400
2014-05-14,77.510002,77.750000,75.010002,75.610001,75.610001,35000
2014-05-15,75.730003,76.610001,75.010002,76.019997,76.019997,28400
2014-05-16,76.440002,77.129997,75.459999,76.300003,76.300003,23300
2014-05-19,75.680000,76.430000,75.550003,75.650002,75.650002,27500
2014-05-20,75.790001,75.790001,74.650002,75.370003,75.370003,43000
2014-05-21,75.419998,75.919998,75.120003,75.839996,75.839996,23300
2014-05-22,75.540001,77.339996,75.540001,76.529999,76.529999,19900
2014-05-23,76.129997,76.750000,75.730003,76.459999,76.459999,18700
2014-05-27,76.699997,78.449997,76.690002,77.930000,77.930000,19800
2014-05-28,77.629997,77.989998,74.739998,75.610001,75.610001,64600
2014-05-29,75.540001,76.849998,75.540001,76.360001,76.360001,30900
2014-05-30,76.099998,76.099998,75.199997,75.260002,75.260002,18600
2014-06-02,75.629997,75.629997,74.699997,75.260002,75.260002,29900
2014-06-03,74.730003,77.000000,74.510002,75.980003,75.980003,82300
2014-06-04,75.650002,76.589996,75.050003,75.070000,75.070000,22100
2014-06-05,75.000000,76.089996,74.500000,75.669998,75.669998,22800
2014-06-06,75.550003,77.000000,75.209999,76.330002,76.330002,17700
